username,account_label,user_image,total_followers,engagement_rate,total_likes,total_comments,TotalPosts,ConsideredPosts
danielwellington,"Daniel Wellington",https://instagram.fbom8-1.fna.fbcdn.net/vp/666793236c4089dbef76acab54625db4/5E4B21E7/t51.2885-19/s320x320/36159707_670363839963003_7852937393920278528_n.jpg?_nc_ht=instagram.fbom8-1.fna.fbcdn.net,4832643,0.07,316499,715,6853,12
seikowatchjapan,"Seiko Watch Japan",https://instagram.fbom8-1.fna.fbcdn.net/vp/9dc4ab42792f3f41d50af56cb46b1ba7/5E61429C/t51.2885-19/s320x320/36161510_1841080809522132_2061059023284731904_n.jpg?_nc_ht=instagram.fbom8-1.fna.fbcdn.net,271526,0.16,43056,276,914,12
casio_us,"Casio USA",https://instagram.fbom8-1.fna.fbcdn.net/vp/b1c850b139ed40370c0fec8304bca3cb/5E62FBC9/t51.2885-19/11325018_925839810787845_1516762589_a.jpg?_nc_ht=instagram.fbom8-1.fna.fbcdn.net,231840,0.16,35692,495,521,12
tissot_official,"Swiss Watches since 1853",https://instagram.fbom8-1.fna.fbcdn.net/vp/c192ed4e5a756a8fc3adb0f185183921/5E61940C/t51.2885-19/11849945_1468267870143091_113955660_a.jpg?_nc_ht=instagram.fbom8-1.fna.fbcdn.net,1196100,0.04,46726,226,1738,12
tissot_official,"Swiss Watches since 1853",https://instagram.fbom8-1.fna.fbcdn.net/vp/c192ed4e5a756a8fc3adb0f185183921/5E61940C/t51.2885-19/11849945_1468267870143091_113955660_a.jpg?_nc_ht=instagram.fbom8-1.fna.fbcdn.net,1196100,0.04,46726,226,1738,12
rolex,ROLEX,https://instagram.fbom8-1.fna.fbcdn.net/vp/9b32cf082d5aec77301212319f930932/5E4D86BF/t51.2885-19/s320x320/12142450_157279231293241_2115688096_a.jpg?_nc_ht=instagram.fbom8-1.fna.fbcdn.net,10311372,0.16,1652551,8307,908,12
timex,Timex,https://instagram.fbom8-1.fna.fbcdn.net/vp/0092f9af294f9770a8e4d1ae7c818cf2/5E5129FB/t51.2885-19/s320x320/35156048_2020617231313848_9011743145456566272_n.jpg?_nc_ht=instagram.fbom8-1.fna.fbcdn.net,237632,0.04,10186,161,2344,12
