username,account_label,user_image,total_followers,engagement_rate,total_likes,total_comments,TotalPosts,ConsideredPosts
longines,Longines,https://instagram.fbom8-1.fna.fbcdn.net/vp/8a507b44111978bd0929629634a47cc8/5E689635/t51.2885-19/11259680_164912810507162_74984787_a.jpg?_nc_ht=instagram.fbom8-1.fna.fbcdn.net,1201514,0.05,54893,251,1854,12
danielwellington,"Daniel Wellington",https://instagram.fbom8-1.fna.fbcdn.net/vp/31b4f7492e0318b09440076d37e5b712/5E72AEE7/t51.2885-19/s320x320/36159707_670363839963003_7852937393920278528_n.jpg?_nc_ht=instagram.fbom8-1.fna.fbcdn.net,4921659,0.06,287939,864,6918,12
omega,OMEGA,https://instagram.fbom8-1.fna.fbcdn.net/vp/719a913157cf03f68d2b3cb8ca273fa8/5E867AB7/t51.2885-19/11849397_411065149098179_1416216433_a.jpg?_nc_ht=instagram.fbom8-1.fna.fbcdn.net,2768341,0.16,431279,3214,1733,12
rolex,ROLEX,https://instagram.fbom8-1.fna.fbcdn.net/vp/53ad5c8a792f0d2fff8d8b703c6660ad/5E7513BF/t51.2885-19/s320x320/12142450_157279231293241_2115688096_a.jpg?_nc_ht=instagram.fbom8-1.fna.fbcdn.net,10418143,0.16,1703898,9081,920,12
